Start Time,Stop Time,Location,Address,Charge Station,Connector,Driver Postcode,Id Tag,Charging Time,Idle Time,Usage (kWh),CO2 Abatement (gCO2),Revenue,Cost,Session ID,Payment Method,Benefit Type,Benefit Name
19 Jan 2025 11:46,19 Jan 2025 12:14,Witchcliffe Eco Village Cluster 1C - Kulbardi Way,"41 Kulbardi Way, Witchcliffe, WA, 6286",Station 5513,Port B,2620,"",00:28:00,00:00:00,29.89,9529.57,10.76,5.68,41d724cf-61fa-4e06-b663-9f4a2f35b631,"Chargefox (app,rfid)","",""
18 Jan 2025 19:24,18 Jan 2025 19:35,Witchcliffe Eco Village Cluster 1C - Kulbardi Way,"41 Kulbardi Way, Witchcliffe, WA, 6286",Station 5513,Port A,6286,"",00:11:00,00:00:00,13.08,4170.741,5.89,2.49,3a556120-7533-4437-8ac1-d6ffa3f73ad1,"Chargefox (app,rfid)",Free,WESTPAC
18 Jan 2025 16:56,18 Jan 2025 17:07,Witchcliffe Eco Village Cluster 1C - Kulbardi Way,"41 Kulbardi Way, Witchcliffe, WA, 6286",Station 5513,Port B,6280,"",00:10:00,00:00:00,13.59,4332.724,5.76,2.58,429b91ef-67e4-4551-aee9-b73c76d7d5a7,"Chargefox (app,rfid)","",""
16 Jan 2025 09:54,16 Jan 2025 10:48,Witchcliffe Eco Village Cluster 1C - Kulbardi Way,"41 Kulbardi Way, Witchcliffe, WA, 6286",Station 5513,Port B,,"",00:53:00,00:00:00,50.89,16226.351,18.32,9.67,d4ac142f-8f67-414e-a8c1-105dc92c72db,"Chargefox (app,rfid)",Fleet,""
15 Jan 2025 17:24,15 Jan 2025 17:46,Witchcliffe Eco Village Cluster 1C - Kulbardi Way,"41 Kulbardi Way, Witchcliffe, WA, 6286",Station 5513,Port A,6286,"",00:21:00,00:00:00,20.85,6648.314,9.38,3.96,6d50859a-0166-4fdf-ab65-3136ac19afc8,"Chargefox (app,rfid)","",""
12 Jan 2025 16:12,12 Jan 2025 16:32,Witchcliffe Eco Village Cluster 1C - Kulbardi Way,"41 Kulbardi Way, Witchcliffe, WA, 6286",Station 5513,Port A,6286,"",00:20:00,00:01:00,22.07,7036.372,7.94,4.19,89f61010-aaab-4188-ae16-13dc3673ff5a,"Chargefox (app,rfid)","",""
12 Jan 2025 13:10,12 Jan 2025 13:42,Witchcliffe Eco Village Cluster 1C - Kulbardi Way,"41 Kulbardi Way, Witchcliffe, WA, 6286",Station 5513,Port A,6112,"",00:46:00,00:00:00,27.78,8858.68,10.00,5.28,f721996a-2956-4c8a-8ff5-d4205da4e61c,"Chargefox (app,rfid)","",""
10 Jan 2025 12:46,10 Jan 2025 13:06,Witchcliffe Eco Village Cluster 1C - Kulbardi Way,"41 Kulbardi Way, Witchcliffe, WA, 6286",Station 5513,Port A,6162,"",00:19:00,00:00:00,18.08,5765.38,6.51,3.44,4862d953-82d4-4d17-a590-f8e202a40459,"Chargefox (app,rfid)","",""
9 Jan 2025 09:38,9 Jan 2025 09:56,Witchcliffe Eco Village Cluster 1C - Kulbardi Way,"41 Kulbardi Way, Witchcliffe, WA, 6286",Station 5513,Port A,6286,"",00:17:00,00:24:00,10.18,3246.354,3.67,1.93,13eb58c7-df90-4358-9ee0-e1b10df751a0,"Chargefox (app,rfid)","",""
8 Jan 2025 14:14,8 Jan 2025 14:45,Witchcliffe Eco Village Cluster 1C - Kulbardi Way,"41 Kulbardi Way, Witchcliffe, WA, 6286",Station 5513,Port B,6076,"",00:30:00,00:00:00,27.06,8629.735,9.74,5.14,a8dfa01b-a454-4064-9892-f70d19b52eb4,"Chargefox (app,rfid)","",""
8 Jan 2025 08:06,8 Jan 2025 08:48,Witchcliffe Eco Village Cluster 1C - Kulbardi Way,"41 Kulbardi Way, Witchcliffe, WA, 6286",Station 5513,Port B,6018,"",00:41:00,00:00:00,30.87,9843.969,11.11,5.87,95919de9-f5fb-4fa2-b650-767cd679652f,"Chargefox (app,rfid)","",""
7 Jan 2025 20:59,7 Jan 2025 21:45,Witchcliffe Eco Village Cluster 1C - Kulbardi Way,"41 Kulbardi Way, Witchcliffe, WA, 6286",Station 5513,Port B,,"",00:45:00,01:19:00,38.77,12361.72,17.45,7.37,d82c8722-b105-413d-b5e4-94d5cea10e12,"Chargefox (app,rfid)",Fleet,""
7 Jan 2025 17:11,7 Jan 2025 17:26,Witchcliffe Eco Village Cluster 1C - Kulbardi Way,"41 Kulbardi Way, Witchcliffe, WA, 6286",Station 5513,Port A,6166,"",00:14:00,00:00:00,13.89,4427.427,6.25,2.64,0a5c631d-9699-49cb-a3e2-255ebf4e3022,"Chargefox (app,rfid)","",""
4 Jan 2025 14:29,4 Jan 2025 15:16,Witchcliffe Eco Village Cluster 1C - Kulbardi Way,"41 Kulbardi Way, Witchcliffe, WA, 6286",Station 5513,Port B,,"",00:46:00,00:00:00,50.22,16012.393,18.08,9.54,e26c290b-030a-49f4-b985-b665b9ce65fb,"Chargefox (app,rfid)",Fleet,""
